plant,disease,area_m2,severity,lat,lon,date
Potato,Early Blight,1750,0.28,-0.8615,-78.4741,2025-07-31
Tomato,Leaf Mold,1739,0.86,-1.511,-78.6751,2025-06-04
Tomato,Spider Mites,2860,0.37,-1.7275,-78.6364,2026-01-20
Tomato,Leaf Mold,2967,0.54,-2.2835,-78.0614,2025-09-21
Tomato,Bacterial Spot,4885,0.88,0.0207,-76.7947,2026-01-23
Potato,Black Scurf,2856,0.49,-0.11,-76.8428,2025-11-18
Potato,Black Scurf,1928,0.49,-0.8872,-78.6623,2025-04-19
Tomato,Bacterial Spot,2934,0.89,-1.7228,-78.7794,2025-10-03
Tomato,Spider Mites,1169,0.57,-1.5833,-77.9428,2026-01-20
Potato,Common Scab,2724,0.84,-2.2294,-77.9648,2025-11-05
Tomato,Late Blight,1271,0.58,-1.0239,-80.4217,2025-03-31
Potato,Late Blight,776,0.97,-2.4645,-78.0633,2025-08-02
Tomato,Leaf Mold,4505,0.79,-1.7247,-78.6279,2026-03-14
Tomato,Bacterial Spot,999,0.19,-0.9524,-79.346,2025-03-27
Tomato,Leaf Mold,3673,0.22,-0.8152,-78.5815,2025-04-20
Potato,Early Blight,3553,0.87,-0.0273,-76.7815,2025-08-09
Potato,Black Scurf,2283,0.78,-1.6505,-77.9289,2025-09-14
Potato,Late Blight,3446,0.74,-0.8166,-78.3943,2026-01-20
Potato,Late Blight,2984,0.12,-1.517,-78.5923,2025-12-01
Tomato,Late Blight,4542,0.47,-2.3297,-78.0774,2025-07-12
Tomato,Yellow Leaf Curl Virus,3475,0.53,-2.8278,-78.8512,2026-02-02
Potato,Early Blight,3218,0.18,-1.1436,-80.4038,2025-04-03
Tomato,Target Spot,3606,0.89,-0.31,-78.7673,2025-04-17
Tomato,Bacterial Spot,3432,0.85,-0.102,-78.544,2026-02-13
Tomato,Septoria Leaf Spot,2202,0.59,-1.1407,-77.7564,2025-03-28
Tomato,Yellow Leaf Curl Virus,804,0.89,-0.1749,-76.876,2025-04-22
Tomato,Spider Mites,2000,0.12,-0.3538,-78.3579,2025-07-31
Potato,Common Scab,459,0.55,-1.9946,-79.8457,2025-06-18
Tomato,Yellow Leaf Curl Virus,4641,0.68,-0.9007,-79.4715,2025-07-26
Potato,Black Scurf,929,0.83,-1.0472,-77.8123,2026-03-03
Tomato,Spider Mites,3581,0.37,-1.1437,-77.7242,2025-09-26
Tomato,Target Spot,1394,0.58,-1.0075,-80.129,2025-08-23
Potato,Late Blight,2969,0.79,-1.1071,-79.5559,2025-06-02
Potato,Common Scab,1334,0.78,-0.4471,-78.4944,2025-12-07
Tomato,Septoria Leaf Spot,4531,0.89,-1.0282,-79.5641,2025-08-22
Tomato,Target Spot,1553,0.2,-0.9777,-77.6714,2025-09-03
Tomato,Yellow Leaf Curl Virus,1333,0.99,-0.0789,-78.6345,2025-04-12
Potato,Early Blight,453,0.65,-1.6033,-78.6789,2026-01-22
Tomato,Spider Mites,2303,0.61,-0.6868,-78.4521,2025-06-19
Tomato,Target Spot,690,0.88,-4.0853,-79.4709,2025-09-29
Potato,Black Scurf,1517,0.4,-1.1583,-78.7023,2025-07-18
Potato,Black Scurf,4622,0.16,-0.0327,-76.7794,2025-05-13
Tomato,Leaf Mold,2150,0.51,-1.2529,-78.4854,2025-06-02
Tomato,Septoria Leaf Spot,1347,0.9,-2.2504,-79.7999,2025-06-06
Potato,Common Scab,1749,0.16,0.1039,-77.0638,2025-10-31
Potato,Early Blight,3061,0.56,-0.181,-77.1558,2026-02-13
Tomato,Target Spot,4464,0.75,0.4631,-78.1419,2025-08-06
Potato,Early Blight,711,0.87,-0.9382,-77.8411,2025-06-08
Potato,Black Scurf,1597,0.49,-0.3396,-76.9216,2026-02-20
Tomato,Septoria Leaf Spot,1419,0.39,-2.9541,-78.9851,2025-04-08
Potato,Black Scurf,1165,0.65,-0.8433,-78.4765,2025-09-10
Potato,Late Blight,2197,0.99,-0.9238,-78.188,2026-02-15
Potato,Late Blight,888,0.4,0.1308,-76.9481,2025-08-17
Potato,Late Blight,4940,0.72,0.0397,-78.5205,2025-07-16
Tomato,Septoria Leaf Spot,3854,0.15,-2.2362,-79.6983,2025-05-01
Tomato,Yellow Leaf Curl Virus,2284,0.39,-0.125,-78.6302,2025-05-06
Tomato,Septoria Leaf Spot,4280,0.6,0.4529,-78.17,2026-02-21
Tomato,Late Blight,3486,0.16,-0.9494,-79.309,2025-11-09
Potato,Early Blight,4182,0.88,-1.6289,-78.679,2025-11-14
Potato,Late Blight,4549,0.54,-1.1827,-77.8364,2026-03-07
Tomato,Septoria Leaf Spot,686,0.44,-1.147,-78.6093,2025-12-29
Potato,Common Scab,4104,0.35,-2.3211,-79.9934,2025-04-19
Tomato,Late Blight,1222,0.13,-1.0646,-80.3348,2025-12-04
Potato,Early Blight,566,0.31,-1.6531,-77.8552,2025-11-10
Tomato,Spider Mites,2792,0.61,-2.142,-79.774,2025-05-17
Tomato,Bacterial Spot,4149,0.93,-0.6641,-76.9477,2025-12-25
Potato,Late Blight,3616,0.89,-0.4131,-77.0618,2025-10-19
Tomato,Septoria Leaf Spot,2265,0.24,0.0423,-76.7132,2025-09-30
Tomato,Yellow Leaf Curl Virus,3524,0.49,-2.2666,-77.9806,2025-12-23
Potato,Common Scab,2617,0.6,0.2915,-76.7555,2025-12-30
Potato,Common Scab,4541,0.74,-1.573,-77.8951,2025-08-14
Tomato,Septoria Leaf Spot,4660,0.59,-0.5881,-77.2281,2025-03-25
Potato,Late Blight,4567,0.41,-4.1397,-79.1338,2025-09-10
Potato,Common Scab,3471,0.16,0.4616,-78.3877,2025-11-24
Potato,Late Blight,2541,0.3,-1.248,-80.3566,2025-04-30
Potato,Early Blight,4715,0.97,-1.1213,-78.6868,2025-11-05
Tomato,Yellow Leaf Curl Virus,4937,0.27,-1.1946,-80.2807,2025-07-17
Tomato,Leaf Mold,1329,0.48,-2.9476,-78.9661,2025-09-12
Potato,Early Blight,1344,0.86,-2.2949,-78.0768,2025-07-31
Tomato,Late Blight,3255,0.6,-0.4332,-76.9729,2025-09-07
Potato,Early Blight,2341,0.84,-2.2992,-79.8172,2025-04-24
Tomato,Late Blight,3415,0.67,-2.4536,-78.2557,2026-01-30
Potato,Late Blight,678,0.72,-2.325,-79.6966,2025-05-27
Potato,Black Scurf,898,0.66,-1.5703,-78.7942,2026-01-28
Potato,Black Scurf,4270,0.91,0.0737,-76.9456,2025-12-20
Potato,Common Scab,2572,0.19,-4.0414,-79.0688,2025-08-11
Potato,Black Scurf,2191,0.23,-3.8966,-79.0156,2025-08-07
Potato,Common Scab,3961,0.17,-1.4448,-78.6496,2025-06-02
Tomato,Bacterial Spot,2463,0.9,-1.7295,-78.5821,2025-05-22
Tomato,Late Blight,3160,0.6,-2.0174,-78.1916,2025-10-21
Potato,Black Scurf,2890,0.35,-2.9912,-79.0508,2025-04-05
Tomato,Bacterial Spot,2626,0.33,-1.7035,-78.7202,2025-07-07
Tomato,Yellow Leaf Curl Virus,4873,0.2,-1.7757,-78.7582,2025-08-29
Potato,Common Scab,3060,0.37,-2.2353,-78.0499,2025-06-17
Tomato,Septoria Leaf Spot,529,0.67,-1.6204,-78.8507,2025-05-07
Potato,Late Blight,3266,0.3,-2.318,-78.0055,2025-11-03
Potato,Late Blight,4799,0.34,-0.9398,-80.1323,2025-06-24
Tomato,Yellow Leaf Curl Virus,3696,0.99,0.3441,-77.8968,2026-01-10
Tomato,Late Blight,2023,0.83,0.2846,-78.1166,2025-08-03
Potato,Common Scab,3349,0.44,-1.1421,-77.7469,2025-08-08
Tomato,Leaf Mold,639,0.43,-1.1258,-78.373,2025-05-13
Tomato,Late Blight,3816,0.78,-0.2672,-78.3682,2025-12-20
Potato,Black Scurf,1103,0.49,-0.3824,-77.0252,2025-11-09
Tomato,Yellow Leaf Curl Virus,4556,0.41,0.1187,-78.0557,2026-01-23
Potato,Black Scurf,4824,0.91,0.1065,-78.3022,2025-05-06
Potato,Early Blight,4541,0.69,-1.6263,-78.5853,2025-08-26
Tomato,Bacterial Spot,1952,0.87,0.4229,-78.025,2025-04-03
Potato,Black Scurf,1495,0.85,-1.0774,-77.8591,2025-12-12
Potato,Black Scurf,2773,0.67,-0.1481,-78.675,2025-10-07
Tomato,Leaf Mold,277,0.27,-0.9067,-78.6474,2025-11-10
Tomato,Septoria Leaf Spot,1099,0.54,-2.0749,-79.8726,2025-05-11
Potato,Common Scab,4965,0.42,0.4252,-78.0823,2025-04-24
Tomato,Late Blight,1541,0.21,-0.5522,-76.8591,2025-05-20
Potato,Black Scurf,406,0.38,-0.9485,-79.457,2025-09-22
Tomato,Late Blight,2373,0.76,-2.0905,-79.5769,2025-10-30
Tomato,Late Blight,3185,0.82,0.4726,-78.1851,2025-07-13
Tomato,Bacterial Spot,4185,0.36,-2.1756,-78.0288,2026-02-15
Tomato,Leaf Mold,1065,0.91,-1.0387,-77.8581,2026-03-12
Potato,Early Blight,2684,0.29,-1.0021,-77.6137,2026-01-27
Potato,Late Blight,4176,0.44,-0.0009,-76.8118,2026-02-14
Potato,Late Blight,3371,0.35,-0.3445,-78.5677,2026-01-28
Potato,Early Blight,3172,0.69,-0.9583,-79.3466,2025-07-22
Tomato,Leaf Mold,4424,0.12,-1.0657,-78.0613,2025-11-25
Potato,Late Blight,4833,0.56,-1.1927,-78.6209,2025-04-08
Potato,Black Scurf,3589,0.66,-1.7627,-78.8166,2025-04-23
Potato,Late Blight,4622,0.17,-2.2111,-78.0234,2025-06-26
Potato,Black Scurf,930,0.51,-2.3123,-79.9338,2026-02-05
Tomato,Bacterial Spot,4774,0.38,-0.9836,-80.1114,2025-08-07
Tomato,Yellow Leaf Curl Virus,4140,0.98,0.3912,-78.0617,2025-07-20
Tomato,Yellow Leaf Curl Virus,1296,0.76,-2.1699,-79.8298,2025-05-07
Tomato,Septoria Leaf Spot,89,0.86,-0.609,-76.9017,2025-12-01
Potato,Late Blight,3751,0.43,-1.6611,-78.6738,2025-08-24
Tomato,Septoria Leaf Spot,3974,0.16,0.5548,-78.0773,2026-02-02
Potato,Early Blight,648,0.11,-0.1129,-78.4984,2025-10-04
Potato,Black Scurf,2501,0.2,-2.207,-79.9159,2025-11-17
Tomato,Bacterial Spot,1364,0.93,-1.1468,-78.7004,2025-11-13
Tomato,Septoria Leaf Spot,2991,0.7,-1.1358,-78.5266,2025-12-19
Potato,Common Scab,3362,0.57,-0.0562,-78.5355,2025-07-28
Tomato,Septoria Leaf Spot,1673,0.62,-1.4455,-78.0073,2025-11-22
Potato,Black Scurf,3470,0.43,-0.9459,-77.7583,2025-07-26
Tomato,Septoria Leaf Spot,3200,0.99,-0.3863,-77.0507,2025-06-01
Potato,Early Blight,4919,0.76,-2.2367,-78.2863,2025-12-31
Tomato,Spider Mites,2967,0.35,-1.7722,-78.619,2025-07-09
Potato,Common Scab,2613,0.13,-0.939,-79.3017,2025-09-21
Tomato,Spider Mites,2532,0.1,-0.9062,-78.7902,2025-09-02
Potato,Late Blight,3948,0.95,-0.9201,-79.4782,2025-09-15
Potato,Early Blight,4706,0.15,-1.2047,-78.6033,2025-11-29
Potato,Early Blight,1674,0.54,-1.0816,-78.5545,2026-03-13
Potato,Black Scurf,4434,0.5,-0.4134,-76.8532,2025-10-07
Potato,Early Blight,4278,0.55,-1.7013,-78.7726,2025-05-04
Tomato,Spider Mites,2053,0.95,-1.5362,-78.6298,2026-03-23
Tomato,Leaf Mold,4920,0.36,-1.5904,-77.8691,2025-08-03
Potato,Common Scab,3014,0.68,-1.7467,-78.7977,2026-02-19
Tomato,Septoria Leaf Spot,1372,0.16,-0.265,-78.5454,2025-05-07
Tomato,Target Spot,1327,0.49,-3.9818,-79.2289,2025-05-15
Potato,Black Scurf,477,0.94,-1.126,-79.3444,2026-03-03
Potato,Early Blight,4094,0.31,-1.08,-79.5239,2025-04-21
Tomato,Bacterial Spot,2431,0.62,-0.0979,-78.4874,2025-09-09
Tomato,Septoria Leaf Spot,1800,0.7,-0.0009,-78.7213,2025-05-19
Potato,Late Blight,2881,0.23,-0.2625,-78.5062,2025-08-16
Potato,Common Scab,2892,0.97,-1.1133,-78.6998,2026-02-26
Potato,Late Blight,3917,0.54,-0.9772,-78.4768,2025-07-01
Tomato,Yellow Leaf Curl Virus,1041,0.89,-1.0911,-78.7195,2025-06-30
Potato,Common Scab,2519,0.63,-0.5216,-77.1772,2025-04-09
Potato,Black Scurf,634,0.99,-2.4487,-77.961,2025-12-23
Potato,Late Blight,2106,0.55,-1.3928,-77.7546,2025-12-20
Potato,Common Scab,3100,0.38,-0.912,-78.6003,2026-01-29
Tomato,Leaf Mold,1306,0.21,-0.1918,-78.3054,2025-07-02
Tomato,Septoria Leaf Spot,797,0.79,-2.0584,-79.9123,2025-10-13
Potato,Late Blight,3769,0.42,-0.7719,-78.5689,2025-04-05
Tomato,Late Blight,1096,0.23,-2.2413,-79.8452,2025-05-27
Potato,Early Blight,4472,0.36,-1.2566,-78.599,2026-03-23
Potato,Black Scurf,2629,0.79,-3.8595,-79.2176,2025-10-07
Tomato,Target Spot,2141,0.11,-1.0297,-79.6972,2026-01-05
Tomato,Bacterial Spot,1737,0.75,-0.404,-78.71,2025-06-05
Tomato,Target Spot,4351,0.51,-2.9159,-78.9284,2025-09-17
Tomato,Target Spot,4961,0.62,-1.584,-78.6958,2025-06-15
Tomato,Bacterial Spot,2473,0.48,-1.6985,-78.6285,2025-08-04
Tomato,Late Blight,4898,0.93,-2.2658,-78.1085,2025-06-06
Tomato,Bacterial Spot,4813,0.46,-2.8078,-78.9298,2025-10-06
Tomato,Target Spot,2033,0.53,-2.3684,-78.0437,2026-03-10
Tomato,Leaf Mold,1537,0.85,-1.059,-80.2873,2025-11-09
Potato,Early Blight,2337,0.64,-2.1623,-79.7453,2026-03-18
Potato,Late Blight,1728,0.7,-0.2863,-76.9971,2025-07-26
Potato,Late Blight,304,0.37,-2.9699,-79.0415,2025-09-23
Tomato,Septoria Leaf Spot,2616,0.57,-1.3433,-77.9954,2025-09-09
Potato,Black Scurf,1275,0.24,-0.1255,-78.4501,2025-09-15
Potato,Black Scurf,3128,0.49,-2.2393,-78.1759,2025-10-13
Potato,Black Scurf,3806,0.18,-1.1977,-78.5306,2025-09-04
Tomato,Spider Mites,776,0.61,-0.8514,-79.3636,2025-05-31
Potato,Common Scab,1815,0.45,-1.0962,-79.4328,2025-11-29
Potato,Late Blight,2417,0.47,-1.61,-77.9309,2025-10-28
Potato,Early Blight,4607,0.54,-1.0728,-78.4916,2025-05-17
Tomato,Late Blight,3269,0.72,0.3062,-78.1624,2025-11-11
Tomato,Yellow Leaf Curl Virus,973,0.51,-0.966,-77.8341,2025-08-11
Potato,Early Blight,2207,0.38,0.2507,-76.9968,2026-02-03
Tomato,Yellow Leaf Curl Virus,1456,0.29,-1.2893,-78.5295,2025-12-10
Potato,Common Scab,1583,0.17,-1.2552,-77.7248,2026-02-03
Tomato,Septoria Leaf Spot,4586,0.85,-2.3047,-79.8216,2025-05-19
Potato,Black Scurf,1989,0.89,-0.1388,-78.4354,2026-01-23
Potato,Late Blight,1385,0.74,-1.3337,-77.9725,2025-04-18
Tomato,Late Blight,787,0.32,-1.3192,-78.5228,2025-05-06
Tomato,Target Spot,1155,0.44,-0.386,-76.9603,2025-05-26
Tomato,Late Blight,2451,0.5,-2.1637,-79.7892,2026-01-04
Tomato,Septoria Leaf Spot,672,0.55,-0.9929,-77.6951,2025-07-07
Tomato,Septoria Leaf Spot,2286,0.22,-1.4191,-78.9255,2025-08-20
Tomato,Yellow Leaf Curl Virus,4789,0.53,0.1976,-76.821,2025-04-22
Potato,Black Scurf,2125,0.11,-0.2205,-78.2712,2025-08-03
Potato,Black Scurf,1496,0.59,-1.5493,-77.9169,2025-09-08
Tomato,Septoria Leaf Spot,2564,0.89,-0.9827,-78.5554,2026-02-13
Tomato,Leaf Mold,1672,0.7,-1.0646,-77.8733,2025-08-02
Tomato,Bacterial Spot,336,0.75,-0.9847,-78.5957,2025-12-07
Tomato,Yellow Leaf Curl Virus,149,0.3,-1.6697,-78.2583,2026-03-20
Potato,Common Scab,4466,0.67,-3.9978,-79.3004,2025-10-26
Potato,Early Blight,1132,0.3,-1.4021,-77.9742,2025-05-13
Potato,Common Scab,1262,0.73,-0.3029,-78.4513,2025-04-11
Potato,Common Scab,4206,0.83,-0.8195,-77.9154,2025-11-23
Tomato,Late Blight,4506,0.84,-0.9271,-80.2622,2025-09-16
Tomato,Target Spot,1303,0.65,-1.1742,-78.7305,2025-08-07
Tomato,Yellow Leaf Curl Virus,219,0.35,-1.351,-78.0592,2025-05-19
Tomato,Bacterial Spot,2972,0.2,-1.3063,-78.0789,2025-07-12
Tomato,Spider Mites,4362,0.49,-2.3314,-79.8106,2025-08-24
Potato,Early Blight,4580,0.75,0.3628,-78.0703,2025-08-24
Potato,Black Scurf,2027,0.2,0.2601,-77.061,2026-03-14
Tomato,Late Blight,3726,0.34,-4.1136,-79.2644,2025-04-20
Potato,Common Scab,2771,0.63,0.2876,-78.1424,2025-10-31
Tomato,Bacterial Spot,4695,0.31,-0.285,-78.4868,2025-10-08
Potato,Late Blight,873,0.46,-2.1637,-79.8026,2025-06-28
Potato,Common Scab,2005,0.49,-2.0944,-79.9771,2025-10-31
Tomato,Spider Mites,3460,0.98,-2.3948,-77.944,2025-08-16
Potato,Black Scurf,2055,0.82,-1.8589,-78.4461,2026-01-09
Potato,Early Blight,2709,0.91,-1.4833,-77.9308,2025-09-17
Potato,Early Blight,4452,0.77,-0.7569,-78.6382,2025-09-02
Tomato,Yellow Leaf Curl Virus,1760,0.81,-1.3597,-78.5931,2026-03-01
Tomato,Target Spot,1988,0.35,-0.11,-78.6856,2025-07-24
Tomato,Spider Mites,2283,0.3,-0.1267,-76.931,2026-01-28
Tomato,Late Blight,2118,0.27,-2.1003,-79.9143,2025-12-18
Potato,Early Blight,2278,0.83,-0.6385,-77.2016,2026-01-15
Tomato,Leaf Mold,587,0.14,-1.2282,-78.3638,2025-06-04
Potato,Early Blight,1412,0.89,-2.3494,-79.849,2026-03-07
Tomato,Septoria Leaf Spot,4558,0.61,-1.04,-78.4894,2025-12-28
Tomato,Septoria Leaf Spot,2255,0.17,-0.0029,-77.0172,2025-05-29
Tomato,Leaf Mold,3924,0.64,-0.1468,-78.4338,2026-01-25
Tomato,Bacterial Spot,1708,0.22,-1.5055,-77.9562,2025-05-28
Tomato,Target Spot,3110,0.64,-0.6019,-77.0412,2025-09-14
Potato,Common Scab,3000,0.29,-0.3369,-78.6393,2025-12-29
Tomato,Yellow Leaf Curl Virus,1492,0.98,-2.1808,-78.144,2025-04-07
Tomato,Bacterial Spot,1698,0.45,0.1485,-76.7688,2025-07-09
Tomato,Spider Mites,1846,0.83,0.0807,-76.9146,2025-10-13
Tomato,Bacterial Spot,416,0.82,-1.5457,-78.8122,2026-02-03
Potato,Late Blight,283,0.83,-3.0705,-79.0475,2026-01-05
Potato,Late Blight,3659,0.74,0.3289,-78.0325,2025-07-20
Potato,Common Scab,3073,0.8,-0.5751,-77.1065,2026-02-13
Tomato,Yellow Leaf Curl Virus,1106,0.65,-4.1865,-79.21,2025-08-20
Tomato,Late Blight,4523,0.5,0.23,-78.1414,2025-06-13
Tomato,Yellow Leaf Curl Virus,654,0.17,-1.4065,-78.1261,2025-09-19
Potato,Late Blight,2687,0.91,-3.8501,-78.9561,2026-01-17
Potato,Black Scurf,684,0.62,-1.1031,-80.3393,2025-04-13
Potato,Common Scab,4418,0.73,-2.3114,-78.0797,2025-08-28
Potato,Common Scab,334,0.16,0.134,-77.0103,2026-02-19
Potato,Common Scab,1867,0.29,-2.1129,-79.7242,2025-04-04
Tomato,Bacterial Spot,2612,0.12,-2.2199,-79.6789,2025-05-22
Tomato,Bacterial Spot,3698,0.82,-0.9138,-77.8343,2025-08-18
Potato,Common Scab,4567,0.11,-0.6624,-76.8093,2025-07-21
Tomato,Yellow Leaf Curl Virus,4207,0.16,-2.9595,-78.9868,2025-12-24
Tomato,Target Spot,794,0.94,-0.2646,-78.2954,2026-03-14
Potato,Black Scurf,254,0.17,-0.4979,-77.1619,2025-09-19
Tomato,Late Blight,208,0.95,-2.3769,-77.9975,2025-09-24
Potato,Common Scab,1587,0.46,-0.8001,-77.0135,2025-08-08
Potato,Common Scab,3075,0.8,-1.2693,-77.8501,2025-11-22
Tomato,Spider Mites,1870,0.86,-2.9749,-79.0935,2026-01-25
Tomato,Spider Mites,3426,0.82,-2.3343,-77.9233,2025-04-11
Potato,Black Scurf,4181,0.72,-3.9592,-79.205,2026-01-08
Tomato,Target Spot,3057,0.19,-1.0417,-79.4151,2026-03-24
Tomato,Spider Mites,4100,0.68,-2.7786,-78.7724,2025-08-23
Potato,Black Scurf,3424,0.46,-3.8246,-79.0271,2025-09-29
Potato,Early Blight,3618,0.19,-4.0821,-79.0915,2025-05-12
Tomato,Target Spot,3729,0.89,0.5317,-77.9658,2025-06-19
Potato,Early Blight,3414,0.3,-0.3924,-77.2449,2025-06-05
Tomato,Late Blight,1392,0.35,-1.5414,-78.7102,2025-12-12
Potato,Black Scurf,1088,0.93,-2.1799,-79.7256,2025-07-09
Potato,Black Scurf,4501,0.58,-0.9888,-79.3469,2025-05-05
Potato,Common Scab,4030,0.97,-2.2248,-78.0724,2025-07-16
Potato,Late Blight,3053,0.61,0.09,-76.9292,2025-10-22
Potato,Early Blight,3402,0.58,-0.8797,-79.4588,2025-06-25
Tomato,Septoria Leaf Spot,3579,0.97,-0.8956,-78.7099,2025-08-10
Tomato,Bacterial Spot,221,0.88,-3.9492,-79.307,2025-09-03
Tomato,Spider Mites,4419,0.55,0.3294,-78.3476,2025-06-20
Tomato,Bacterial Spot,491,0.97,-0.4727,-76.9145,2026-01-31
Potato,Common Scab,4286,0.72,-1.0217,-78.8003,2025-12-25
Tomato,Bacterial Spot,2945,0.32,-0.9091,-78.6625,2025-07-12
Tomato,Late Blight,4941,0.97,0.1498,-76.7638,2025-12-11
Tomato,Target Spot,3301,0.38,-3.9783,-79.0366,2026-03-05
Potato,Early Blight,2227,0.8,-3.9604,-79.2935,2026-01-30
Potato,Black Scurf,1573,0.25,-0.9799,-78.7518,2026-03-15
Tomato,Leaf Mold,201,0.67,-2.3706,-77.991,2026-02-16
Potato,Early Blight,1587,0.83,-0.284,-78.4841,2025-07-14
Tomato,Septoria Leaf Spot,2879,0.79,-2.1018,-79.7332,2025-05-29
Potato,Late Blight,4881,0.2,-4.2442,-79.2069,2025-10-09
Tomato,Late Blight,4394,0.11,-0.3053,-76.9703,2025-07-20
Tomato,Yellow Leaf Curl Virus,3900,0.19,-2.2318,-78.0703,2025-08-10
Tomato,Target Spot,2093,0.88,-2.0172,-79.542,2025-12-09
Tomato,Leaf Mold,3421,0.26,-1.2752,-78.5848,2025-09-24
Potato,Late Blight,4075,0.15,-3.8462,-79.363,2025-10-30
Tomato,Bacterial Spot,2135,0.32,-2.2873,-79.7058,2025-11-07
Tomato,Septoria Leaf Spot,1260,0.81,-0.2856,-78.4376,2025-12-03
Potato,Late Blight,1900,0.49,-1.0089,-77.8988,2026-03-22
Tomato,Spider Mites,2855,0.17,-0.7596,-79.6286,2025-11-19
Tomato,Septoria Leaf Spot,2528,0.86,-0.0466,-77.1842,2025-05-25
Potato,Black Scurf,782,0.28,-1.7109,-78.6629,2025-10-24
Tomato,Septoria Leaf Spot,606,0.6,-1.1939,-78.8955,2025-08-05
Tomato,Yellow Leaf Curl Virus,4608,0.46,-0.8941,-79.6129,2025-10-17
Tomato,Leaf Mold,3864,0.51,-1.7383,-78.4527,2025-12-17
Potato,Early Blight,2769,0.33,0.3864,-78.1998,2025-03-29
Tomato,Bacterial Spot,4296,0.35,-4.1014,-79.437,2025-12-24
Tomato,Late Blight,834,0.48,-1.5243,-78.535,2026-01-07
Potato,Late Blight,4404,0.65,-2.1829,-79.5614,2025-09-07
Potato,Early Blight,3560,0.84,0.0511,-76.6553,2026-02-01
Tomato,Yellow Leaf Curl Virus,926,0.39,-1.0426,-78.5961,2025-07-13
Potato,Common Scab,55,0.51,-2.2502,-78.1737,2025-09-29
Potato,Early Blight,4063,0.59,-1.2725,-78.8023,2025-08-02
Tomato,Septoria Leaf Spot,4241,0.26,-1.1082,-78.8445,2025-07-12
Tomato,Target Spot,3751,0.89,-3.9578,-79.2469,2025-11-01
Tomato,Late Blight,2093,0.82,-2.3241,-78.0425,2025-09-22
Tomato,Spider Mites,2134,0.86,0.5811,-78.1557,2025-12-05
Potato,Late Blight,2552,0.54,-1.6065,-78.5372,2025-11-03
Tomato,Leaf Mold,4827,0.89,-2.2264,-79.7085,2026-02-22
Potato,Early Blight,3788,0.25,0.3512,-78.0695,2026-01-25
Tomato,Spider Mites,4321,0.93,-0.0438,-77.1067,2026-01-10
Potato,Early Blight,2591,0.14,-1.5267,-77.9705,2025-10-11
Potato,Early Blight,3498,0.72,-0.7615,-78.7393,2025-10-11
Potato,Common Scab,3792,0.68,-1.3615,-77.8943,2025-03-27
Tomato,Late Blight,1790,0.12,-1.1433,-78.8361,2025-08-14
Tomato,Spider Mites,1513,0.9,-2.7675,-78.9211,2025-06-09
Potato,Black Scurf,2096,0.86,-1.1493,-80.3614,2026-02-11
Tomato,Spider Mites,646,0.24,-0.0271,-76.8105,2025-07-04
Potato,Black Scurf,708,0.32,-0.6038,-76.9357,2026-02-25
Potato,Black Scurf,1904,0.56,-0.9722,-79.4401,2026-02-08
Potato,Common Scab,3351,0.23,-0.7523,-77.7398,2025-12-05
Potato,Early Blight,1956,0.65,-0.4968,-77.1375,2025-09-23
Tomato,Late Blight,1620,0.33,-1.4301,-78.163,2025-05-08
Potato,Common Scab,4137,0.69,-1.7325,-78.4797,2026-03-14
Tomato,Septoria Leaf Spot,2089,0.43,0.3764,-78.1105,2025-05-13
Potato,Black Scurf,4389,0.26,0.119,-76.8598,2025-12-13
Potato,Common Scab,1865,0.18,-2.4239,-78.3152,2025-04-12
Potato,Early Blight,3365,0.44,-1.4708,-78.7551,2026-03-01
Potato,Early Blight,2694,0.67,-0.2235,-76.8055,2026-03-15
Tomato,Late Blight,3589,0.72,-2.8651,-79.0009,2025-10-02
Tomato,Yellow Leaf Curl Virus,948,0.27,-2.9258,-78.7915,2025-07-05
Tomato,Yellow Leaf Curl Virus,3364,0.47,-1.219,-78.8411,2025-09-06
Tomato,Target Spot,2493,0.59,-1.1201,-77.9207,2026-02-10
Tomato,Yellow Leaf Curl Virus,93,0.7,-2.7937,-78.9488,2025-04-26
Tomato,Septoria Leaf Spot,1796,0.74,-1.4449,-78.0291,2025-06-16
Potato,Late Blight,4432,0.57,-1.6664,-78.6154,2025-07-26
Tomato,Bacterial Spot,118,0.75,-2.3855,-78.3532,2025-11-16
Potato,Common Scab,1375,0.79,-2.8625,-78.9235,2025-09-29
Potato,Black Scurf,1200,0.46,-0.3554,-78.6765,2025-12-08
Potato,Black Scurf,1245,0.54,-2.3424,-77.9182,2026-03-23
Tomato,Yellow Leaf Curl Virus,2013,0.56,-0.4814,-77.1421,2025-04-27
Tomato,Spider Mites,692,0.53,-2.2889,-79.8095,2025-06-27
Potato,Late Blight,413,0.62,0.3354,-77.9876,2026-01-13
Potato,Common Scab,2116,0.37,-2.3218,-79.7436,2025-05-09
Tomato,Septoria Leaf Spot,2123,0.99,-1.1212,-80.3656,2025-07-21
Potato,Common Scab,3589,0.24,-0.8193,-78.8101,2025-07-10
Tomato,Leaf Mold,3980,0.71,-1.0042,-77.6457,2025-06-08
Potato,Common Scab,4817,0.42,-0.9018,-80.2529,2025-06-29
Potato,Late Blight,4909,0.27,-2.2154,-77.9637,2025-11-08
Tomato,Yellow Leaf Curl Virus,4964,0.53,-2.1996,-80.0194,2026-03-22
